Facility Name,Facility Address,Utility Type,Measure,Use,Cost,Month,Month_Num,Year
117,117 N Mason,Natural Gas,CCF,45,61.85,August,8,2017
117,117 N Mason,Natural Gas,CCF,13,46.47,September,9,2017
117,117 N Mason,Natural Gas,CCF,58,70.1,October,10,2017
117,117 N Mason,Natural Gas,CCF,244,167.4,November,11,2017
117,117 N Mason,Natural Gas,CCF,595,355.34,December,12,2017
117,117 N Mason,Natural Gas,CCF,1069,616.3,January,1,2018
117,117 N Mason,Natural Gas,CCF,902,528.92,February,2,2018
117,117 N Mason,Natural Gas,CCF,918,519.1,March,3,2018
117,117 N Mason,Natural Gas,CCF,715,384.67,April,4,2018
117,117 N Mason,Natural Gas,CCF,107,92.33,May,5,2018
117,117 N Mason,Natural Gas,CCF,4,45.72,June,6,2018
117,117 N Mason,Water,GAL,6900,22.1,January,1,2005
117,117 N Mason,Water,GAL,6300,21.16,February,2,2005
117,117 N Mason,Water,GAL,6100,20.85,March,3,2005
117,117 N Mason,Water,GAL,5600,20.07,April,4,2005
117,117 N Mason,Water,GAL,6300,23.64,May,5,2005
117,117 N Mason,Water,GAL,7000,25.01,June,6,2005
117,117 N Mason,Water,GAL,6600,24.22,July,7,2005
117,117 N Mason,Water,GAL,5700,22.46,August,8,2005
117,117 N Mason,Water,GAL,6600,24.22,September,9,2005
117,117 N Mason,Water,GAL,6700,24.42,October,10,2005
117,117 N Mason,Water,GAL,6300,21.16,November,11,2005
117,117 N Mason,Water,GAL,5800,20.37,December,12,2005
117,117 N Mason,Water,GAL,5600,16.48,January,1,2006
117,117 N Mason,Water,GAL,6200,17.59,February,2,2006
117,117 N Mason,Water,GAL,6300,17.78,March,3,2006
117,117 N Mason,Water,GAL,6300,21.16,April,4,2006
117,117 N Mason,Water,GAL,6000,17.23,May,5,2006
117,117 N Mason,Water,GAL,7200,19.43,June,6,2006
117,117 N Mason,Water,GAL,6300,23.64,July,7,2006
117,117 N Mason,Water,GAL,6400,23.83,August,8,2006
117,117 N Mason,Water,GAL,6800,24.61,September,9,2006
117,117 N Mason,Water,GAL,6100,17.41,October,10,2006
117,117 N Mason,Water,GAL,7100,19.24,November,11,2006
117,117 N Mason,Water,GAL,6100,20.85,December,12,2006
117,117 N Mason,Water,GAL,5900,21.15,January,1,2007
117,117 N Mason,Water,GAL,6900,22.77,February,2,2007
117,117 N Mason,Water,GAL,6500,22.12,March,3,2007
117,117 N Mason,Water,GAL,6500,22.12,April,4,2007
117,117 N Mason,Water,GAL,6800,25.36,May,5,2007
117,117 N Mason,Water,GAL,6300,18.66,June,6,2007
117,117 N Mason,Water,GAL,6900,25.56,July,7,2007
117,117 N Mason,Water,GAL,3500,18.69,August,8,2007
117,117 N Mason,Water,GAL,4300,20.31,September,9,2007
117,117 N Mason,Water,GAL,4000,19.7,October,10,2007
117,117 N Mason,Water,GAL,3200,16.79,November,11,2007
117,117 N Mason,Water,GAL,3600,17.44,December,12,2007
117,117 N Mason,Water,GAL,3700,17.6,January,1,2008
117,117 N Mason,Water,GAL,3500,17.27,February,2,2008
117,117 N Mason,Water,GAL,3100,13.99,March,3,2008
117,117 N Mason,Water,GAL,3800,17.76,April,4,2008
117,117 N Mason,Water,GAL,3300,18.29,May,5,2008
117,117 N Mason,Water,GAL,4200,20.11,June,6,2008
117,117 N Mason,Water,GAL,3400,18.49,July,7,2008
117,117 N Mason,Water,GAL,4900,21.52,August,8,2008
117,117 N Mason,Water,GAL,3900,19.5,September,9,2008
117,117 N Mason,Water,GAL,3800,19.3,October,10,2008
117,117 N Mason,Water,GAL,4300,18.57,November,11,2008
117,117 N Mason,Water,GAL,4300,18.57,December,12,2008
117,117 N Mason,Water,GAL,4500,18.89,January,1,2009
117,117 N Mason,Water,GAL,4300,18.57,February,2,2009
117,117 N Mason,Water,GAL,4100,18.24,March,3,2009
117,117 N Mason,Water,GAL,4200,18.4,April,4,2009
117,117 N Mason,Water,GAL,5600,22.93,May,5,2009
117,117 N Mason,Water,GAL,4500,20.71,June,6,2009
117,117 N Mason,Water,GAL,1700,15.05,July,7,2009
117,117 N Mason,Water,GAL,1500,14.65,August,8,2009
117,117 N Mason,Water,GAL,100,11.82,September,9,2009
117,117 N Mason,Water,GAL,200,12.02,October,10,2009
117,117 N Mason,Water,GAL,0,11.62,November,11,2009
117,117 N Mason,Water,GAL,0,11.62,December,12,2009
117,117 N Mason,Water,GAL,600,12.81,January,1,2010
117,117 N Mason,Water,GAL,900,13.3,February,2,2010
117,117 N Mason,Water,GAL,10700,29.4,March,3,2010
117,117 N Mason,Water,GAL,6650,22.75,April,4,2010
117,117 N Mason,Water,GAL,7050,26.3,May,5,2010
117,117 N Mason,Water,GAL,7900,28.05,June,6,2010
117,117 N Mason,Water,GAL,7200,26.61,July,7,2010
117,117 N Mason,Water,GAL,6050,24.25,August,8,2010
117,117 N Mason,Water,GAL,4100,20.24,September,9,2010
117,117 N Mason,Water,GAL,5500,23.12,October,10,2010
117,117 N Mason,Water,GAL,5050,20.12,November,11,2010
117,117 N Mason,Water,GAL,4000,18.39,December,12,2010
117,117 N Mason,Water,GAL,4650,20.04,January,1,2011
117,117 N Mason,Water,GAL,5750,21.9,February,2,2011
117,117 N Mason,Water,GAL,5350,21.23,March,3,2011
117,117 N Mason,Water,GAL,5900,22.16,April,4,2011
117,117 N Mason,Water,GAL,5450,21.4,May,5,2011
117,117 N Mason,Water,GAL,6050,27.28,June,6,2011
117,117 N Mason,Water,GAL,5550,23.91,July,7,2011
117,117 N Mason,Water,GAL,5150,23.07,August,8,2011
117,117 N Mason,Water,GAL,4600,21.9,September,9,2011
117,117 N Mason,Water,GAL,5000,22.75,October,10,2011
117,117 N Mason,Water,GAL,4750,20.21,November,11,2011
117,117 N Mason,Water,GAL,4900,20.46,December,12,2011
117,117 N Mason,Water,GAL,4600,21.16,January,1,2012
117,117 N Mason,Water,GAL,4950,21.78,February,2,2012
117,117 N Mason,Water,GAL,5150,22.14,March,3,2012
117,117 N Mason,Water,GAL,4800,21.51,April,4,2012
117,117 N Mason,Water,GAL,5050,24.23,May,5,2012
117,117 N Mason,Water,GAL,6300,27.03,June,6,2012
117,117 N Mason,Water,GAL,5550,25.35,July,7,2012
117,117 N Mason,Water,GAL,6900,28.38,August,8,2012
117,117 N Mason,Water,GAL,5150,24.45,September,9,2012
117,117 N Mason,Water,GAL,5600,25.46,October,10,2012
117,117 N Mason,Water,GAL,4800,23.87,November,11,2012
117,117 N Mason,Water,GAL,5250,22.32,December,12,2012
117,117 N Mason,Water,GAL,5450,23.59,January,1,2013
117,117 N Mason,Water,GAL,5100,22.94,February,2,2013
117,117 N Mason,Water,GAL,5250,23.22,March,3,2013
117,117 N Mason,Water,GAL,5650,23.97,April,4,2013
117,117 N Mason,Water,GAL,5750,26.84,May,5,2013
117,117 N Mason,Water,GAL,7050,29.87,June,6,2013
117,117 N Mason,Water,GAL,4650,24.27,July,7,2013
117,117 N Mason,Water,GAL,5400,26.02,August,8,2013
117,117 N Mason,Water,GAL,4500,23.92,September,9,2013
222,222 Laporte,Water,GAL,,,August,8,2005
117,117 N Mason,Water,GAL,6100,27.65,October,10,2013
117,117 N Mason,Water,GAL,4950,22.66,November,11,2013
117,117 N Mason,Water,GAL,4750,24,December,12,2013
117,117 N Mason,Water,GAL,4950,24.4,January,1,2014
117,117 N Mason,Water,GAL,4450,23.4,February,2,2014
117,117 N Mason,Water,GAL,5300,25.11,March,3,2014
117,117 N Mason,Water,GAL,7300,32.79,April,4,2014
